node_id,lattitude,longitude
1,37.11149767,126.3331059
2,36.98560092,127.8558255
3,37.36474189,123.9346492
4,37.65664623,127.5995828
5,36.98519834,124.5647774
6,37.5711422,127.4958054
7,37.67585365,127.7400587
8,37.63367287,127.1494396
9,37.63894578,127.5698342
10,37.70012988,124.6476603
11,37.67796119,126.7027702
12,37.50903283,126.3233826
13,37.71366171,126.5445427
14,37.6001309,128.4781428
15,37.67898804,125.1436407
16,37.29598513,124.7031645
17,37.53411003,125.3102902
18,37.01845786,125.4899531
19,37.41606171,125.3080749
20,37.55327621,126.106825
21,37.07806315,125.3166853
22,37.47455847,127.9230171
23,37.69166876,126.5856618
24,37.36785188,126.4987281
25,37.06663797,125.5843059
26,37.74934451,126.6180625
27,37.72155707,128.1468756
28,37.25593586,125.970336
29,37.23029508,128.0494488
30,37.51330796,125.1881191
31,37.36323262,124.8176188
32,37.02829819,127.2935315
33,37.59118793,126.1532223
34,37.1258795,125.1746722
35,37.61361956,125.1990613
36,36.98701839,125.9583279
37,37.7236552,126.529
38,37.63705251,124.0761505
39,37.63128219,123.9762349
40,37.07809796,124.7415617
41,37.09631652,126.0191393
42,37.40663405,126.1502703
43,37.46186868,124.6040496
44,37.14087073,125.1284438
45,37.60662672,125.0702531
46,37.06358622,126.4237179
47,37.26548572,125.3288755
48,37.67251895,124.8324484
49,37.35499245,126.6864919
50,37.58076936,127.4475805
51,37.34937716,125.5791757
52,37.30310255,127.2368824
53,37.15593002,127.8909356
54,37.6799815,128.3355391
55,37.03681391,127.532986
56,37.42742881,124.1678839
57,37.53395039,124.9522283
58,37.0190421,126.8605455
59,37.40671785,126.8294661
60,37.27606679,126.0550776
61,37.30438232,123.8938761
62,37.07558325,127.6026389
63,37.16714467,126.2645682
64,37.46938005,126.611787
65,37.3752428,128.5390025
66,37.12170511,126.7822983
67,37.73579473,127.8294529
68,37.03782379,124.2509889
69,37.17753145,124.0997221
70,37.30153425,125.9272669
71,37.22769076,124.8544539
72,37.7218879,125.8344212
73,37.15367895,126.0601539
74,37.45120981,126.7028508
75,37.15550711,127.1417717
76,37.18802526,124.5263023
77,37.42451857,125.9173208
78,37.43117377,126.4490227
79,37.11537209,124.9807057
80,37.26605178,128.3045355
81,37.60489777,126.5432464
82,37.70936567,125.4039555
83,37.0427573,125.3522545
84,37.53788691,127.2060014
85,37.42450332,128.4527078
86,37.38559717,123.9740925
87,37.52846246,126.1496276
88,37.18094048,124.7951547
89,37.56567996,128.3713422
90,37.63973773,126.6784182
91,37.44192683,125.9190194
92,37.20310585,126.3939152
93,37.14884721,125.8071484
94,37.20475298,126.0961389
95,37.05958698,125.2999897
96,37.51680272,126.0466244
97,37.53364781,125.308673
98,37.68761946,125.1155941
99,37.47154974,125.4084511
100,37.36780992,124.0340932
101,37.13506732,127.1593547
102,37.41499863,124.7313244
103,37.74051689,125.2249557
104,36.99501699,127.1087243
105,37.15802675,127.5645504
106,37.53196148,127.5540854
107,37.23830935,126.5601692
108,37.01952045,127.1912878
109,37.64410318,128.076583
110,37.44901731,126.9742875
111,37.21335407,126.6947398
112,37.74268991,127.124462
113,37.07587079,127.3320823
114,37.05974856,125.9313015
115,37.36552654,126.3940491
116,37.73422455,127.8592445
117,37.08346927,125.7883523
118,37.29518323,124.3608927
119,37.34936737,127.9153413
120,37.15031984,125.6234009
121,37.66168934,127.484017
122,37.55138063,125.8805973
123,37.45957359,128.3312004
124,37.49884209,124.8951399
125,37.54825499,125.1943983
126,37.57758667,126.6040086
127,37.55146392,128.3136499
128,37.04729131,128.2186742
129,37.17305995,127.8986635
130,37.59983316,125.6205246
131,37.59304148,125.2504369
132,37.0290375,123.9529882
133,37.53753643,126.8051191
134,37.14092802,128.0120184
135,37.20658831,125.1678198
136,37.49622438,128.3152678
137,37.69682158,124.1158818
138,37.6059261,125.7556018
139,37.05856719,125.9942907
140,37.73395069,126.8633565
141,36.99588318,126.6378465
142,37.3289415,126.9243267
143,37.4096609,124.9679346
144,37.2576066,128.5117925
145,37.29994625,126.0617789
146,37.3146646,124.9590044
147,37.6867524,126.8848824
148,37.67995143,127.0009526
149,37.17354455,124.9706453
150,37.56101451,126.8589248
151,37.3772726,126.1275125
152,37.62823355,128.1154685
153,37.33848253,125.7437803
154,37.28787335,125.2765404
155,37.29214795,126.5421968
156,37.45641404,126.2751927
157,37.39842589,128.4639183
158,37.21094833,124.0759483
159,37.30433597,127.7395253
160,37.42345058,124.3134967
161,37.16842998,126.3342015
162,37.18080646,123.9115783
163,37.11724814,127.4505723
164,37.605134,128.2285347
165,37.63849661,125.6184323
166,37.53950234,124.219855
167,37.45669142,127.3163282
168,36.99233154,128.5793164
169,37.37476672,127.0228649
170,37.38489036,127.4841877
171,37.29862314,128.1835414
172,37.53662312,126.6436221
173,37.51406088,127.8603676
174,37.51312824,125.6365622
175,37.10053693,124.0935079
176,37.68382927,124.3358035
177,37.39993785,124.6555506
178,37.26458531,127.5492311
179,37.54201922,126.2776297
180,37.05328451,127.4874842
181,37.42982956,126.2289257
182,37.74892692,125.1956269
183,36.97785623,124.2389647
184,37.16155337,126.361658
185,37.47682263,125.4237377
186,37.59295863,126.9389866
187,37.49377339,125.5838368
188,37.23645633,128.0688507
189,37.39796952,128.4560548
190,37.54834914,124.9554004
191,37.04147187,124.2182446
192,37.01509985,127.1922666
193,37.57912954,125.9876777
194,37.54866645,128.0619663
195,37.29133592,128.410556
196,37.45134657,128.0107101
197,37.28452289,126.0860425
198,37.69751305,126.1190161
199,37.6504624,128.6964838
200,37.69183872,124.8177779
201,37.24293367,124.9553173
202,37.53219047,126.8834896
203,37.0546855,124.4714923
204,37.14090638,126.5723814
205,37.69656068,125.1850639
206,37.3410739,125.3876803
207,37.32336888,128.2521788
208,37.69214542,128.031042
209,37.23025218,125.1844518
210,37.32728948,126.73205
211,37.1769729,125.8451901
212,37.28344579,124.1183068
213,37.00755084,124.1918839
214,37.71285601,128.2706567
215,37.46070237,127.7069666
216,37.38872864,127.3741723
217,37.00631,124.9546169
218,37.46866301,125.0202182
219,37.38742784,128.5162869
